Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
763,2,25.852,-2.21609,-1.36786
766,1,30.0639,1.84363,1.48204
770,1,22.8738,-3.85773,0.577953
771,2,49.5617,-1.19629,-0.367242
771,2,31.288,-1.63215,2.99161
773,1,24.3474,2.39199,1.10154
778,1,23.2811,-1.4504,0.0583721
781,1,38.1,-0.196516,-1.33159
788,1,22.8198,2.11289,3.0401
789,2,27.6754,1.55173,-0.0969667
789,2,25.1401,-2.5668,0.248908
791,1,42.3953,-2.1979,2.26699
792,2,27.9608,-0.767585,-1.00418
792,2,23.4616,-2.29878,2.29004
799,2,40.3736,0.310807,-0.25529
799,2,25.3042,2.58091,2.51928
800,2,74.3153,0.40569,-1.9566
800,2,43.8751,1.12545,1.01648
804,2,46.0738,1.08631,-0.838286
804,2,26.2964,-1.02405,2.92459
808,3,35.4407,3.27718,-0.000462743
808,3,34.1663,1.16305,-2.45039
808,3,25.6275,-1.17684,2.02685
811,1,25.3167,-2.17135,-2.59134
812,1,27.3509,0.210952,-1.71058
814,1,30.4845,-0.0868962,2.21983
816,1,23.4482,-2.04686,-0.242143
819,1,25.2346,2.48985,2.31963
820,1,24.4811,-0.848703,-2.85689
821,3,40.1982,0.970085,1.91336
821,3,31.0698,-1.43302,-2.90634
821,3,29.2462,-1.56289,-0.745823
822,1,23.2279,-2.00024,0.0927238
825,1,22.7813,-1.48473,-0.943772
827,1,35.1768,0.279616,2.7913
828,1,22.7462,-0.834771,-1.20877
829,2,45.9393,2.818,1.83132
829,2,42.6708,1.8029,-1.2485
830,2,55.5215,0.474841,-1.02444
830,2,27.7768,1.19085,-0.298401
831,1,35.7549,-0.520763,-2.5999
832,2,33.3862,2.38438,-1.6769
832,2,29.5943,0.533561,1.67949
833,2,25.5424,-1.67296,2.69091
833,2,25.427,-0.848015,-0.0487372
834,2,60.9364,1.66091,-1.63749
834,2,41.1167,1.33,1.63377
837,1,26.9996,1.26204,0.0948555
841,5,101.355,-1.11994,1.98613
841,5,79.1346,-1.08814,0.155754
841,5,65.7723,1.67001,-1.75632
841,5,52.7961,-3.72364,-1.5475
841,5,36.1906,-2.18601,2.19542
847,1,24.0141,-0.245419,2.61117
849,1,36.0749,-0.654637,-1.76001
850,1,43.5005,-0.997808,0.887859
851,1,24.718,0.488759,-1.78467
852,2,26.9153,-0.28976,-1.97268
852,2,25.0916,-0.961113,1.07681
854,1,48.4633,-1.9039,-0.294932
857,1,31.415,-0.269066,1.74104
858,2,27.3925,-1.36659,-2.1671
858,2,23.9022,-1.11632,-0.282322
859,1,31.531,-1.3118,1.78325
861,1,28.7191,0.567613,-1.1772
862,2,30.1732,-0.751476,2.83416
862,2,24.5933,0.418005,-2.03141
865,3,24.8954,-3.03914,-0.497817
865,3,24.1654,1.58694,-3.04961
865,3,23.0052,0.279337,-2.45172
866,2,43.3595,-1.30229,1.59124
866,2,23.839,-3.41139,2.98142
868,1,38.7189,0.165125,-1.51993
870,1,28.6035,-3.79627,1.478
871,2,39.6504,-2.96475,-3.01003
871,2,36.6865,-2.16865,-0.362245
872,1,22.1756,2.66358,2.56007
875,1,28.9019,1.85449,0.938228
876,1,26.2606,0.670472,-0.563279
879,1,42.1804,0.912977,0.493714
881,1,28.7402,-0.0535488,-1.55356
883,1,32.7331,0.352583,-1.73734
887,1,29.3387,0.78249,1.32573
889,1,24.7225,0.0886943,-2.29912
891,2,23.6484,0.200112,-2.80757
891,2,22.7556,-0.962202,0.0286651
897,1,23.3672,-0.162036,-1.80351
901,2,33.4426,-4.14646,1.38285
901,2,24.9286,-3.43518,-1.89405
904,2,42.8142,-2.22744,-0.541709
904,2,26.4939,-3.94147,2.64116
908,1,22.7953,2.3137,-0.163282
913,1,22.779,-0.986794,1.83176
914,2,35.7112,1.14284,-0.846888
914,2,25.2107,0.673677,-2.95676
918,1,22.9788,-2.16288,2.61684
919,1,24.9622,-1.06547,-1.63576
921,1,25.6976,0.280746,-2.22093
922,1,40.6884,1.99577,2.78451
925,1,23.7924,-0.349434,2.8689
929,2,56.1984,-0.92771,-1.08962
929,2,47.5316,-1.32181,1.99107
930,1,30.2059,-2.51025,2.94564
935,1,24.9873,0.543093,2.59641
936,1,27.5936,1.1507,1.47593
937,2,33.422,-1.0058,-1.67051
937,2,27.1349,-1.8902,1.47
939,1,25.8652,2.28002,1.30897
941,1,25.7407,-0.941197,1.55895
